"gene","Biomarker_TSS_Start","Biomarker_TSS_End","Chromosome_edit"
"CC2D1A","13906201","13930879","19"
"MITD1","99161427","99181058","2"
"FKBP4","2794970","2805423","12"
"NPM1","171387116","171411810","5"
"PRDX1","45510914","45542732","1"
"LPO","58218548","58268518","17"
"TNFRSF6B","63696652","63698684","20"
"LAIR2","54428232","54518644","19"
"CD274","5450503","5470566","9"
"TNFRSF10A","23190452","23225102","8"
"FRZB","182833275","182866637","2"
"PSME1","24136162","24138967","14"
"LAYN","111540280","111561745","11"
"SNCG","86958599","86963258","10"
"BAG3","119651380","119677819","10"
"CCS","66593153","66606019","11"
"ADGRB3","68635282","69390571","6"
"HNMT","137964020","138016364","2"
"CX3CL1","57372477","57385044","16"
"IPCEF1","154154496","154356803","6"
"AFP","73431138","73456174","4"
"MATN3","19992052","20012668","2"
"OBP2B","133205277","133209250","9"
"TNFRSF10B","23020133","23069031","8"
"EPHB6","142855061","142932255","7"
"CALCA","14966622","14972354","11"
"SFRP1","41261962","41309473","8"
"TNFRSF9","7915871","7943165","1"
"RBKS","27781379","27890681","2"
"TCL1A","95709947","95714196","14"
"CD63","55725323","55729707","12"
"PSME2","24143361","24147570","14"
"ASGR1","7173431","7179564","17"
"FUT8","65410592","65744121","14"
"TBCB","36114289","36125947","19"
"BMP4","53949736","53958761","14"
"CST5","23875934","23879748","20"
"ASAH2","50182778","50279720","10"
"BCAN","156641390","156659532","1"
"ACVRL1","51906908","51923361","12"
"EIF4B","53006282","53042215","12"
"ADAM22","87934143","88202889","7"
"PLA2G10","14672547","14694674","16"
"LXN","158645822","158672648","3"
"CCL2","34255274","34257208","17"
"CDH15","89171748","89195492","16"
"CNTN5","99020949","100358885","11"
"ROBO2","75906695","77649964","3"
"CDH3","68636189","68727468","16"
"DDR1","30870550","30970646","6"
"CD300C","74541073","74546115","17"
"PVR","44643798","44666162","19"
"TXNDC5","7881517","7910788","6"
"FUT3_FUT5","5842888","5851471","19"
"STC1","23841929","23854806","8"
"RWDD1","116571409","116597675","6"
"VTA1","142147162","142224685","6"
"EZR","158765741","158819368","6"
"CD8A","86784610","86808396","2"
"MMP8","102711796","102727050","11"
"SEMA4D","89360787","89498130","9"
"PDCD5","32581190","32587453","19"
"NSFL1C","1442162","1473842","20"
"SERPINB6","2948159","2972165","6"
"CXCL13","77511753","77611834","4"
"CD34","207880972","207911402","1"
"VCAN","83471618","83582303","5"
"PPCDC","75023586","75117462","15"
"SMPD1","6390440","6394998","11"
"BST2","17402939","17405630","19"
"CCL19","34689570","34691276","9"
"SULT1A1","28605196","28614279","16"
"SUMF2","56064002","56080670","7"
"PRL","22287244","22302826","6"
"LBR","225401502","225428925","1"
"ANXA3","78551747","78610451","4"
"ENO1","8861000","8879190","1"
"CHGB","5911510","5925353","20"
"ADAM8","133262420","133276868","10"
"CD74","150401637","150412969","5"
"LGALS8","236518000","236552981","1"
"CXCL11","76033682","76041415","4"
"GOLM2","44288719","44415758","15"
"RGMB","98768650","98798643","5"
"ENO2","6913745","6923698","12"
"OXT","3071620","3072517","20"
"SCARF2","20424584","20437826","22"
"TNFRSF8","12063303","12144207","1"
"THY1","119415476","119424985","11"
"BST1","15703065","15738313","4"
"TNFRSF21","47231532","47309905","6"
"CPPED1","12659799","12803887","16"
"NCAN","19211958","19252233","19"
"NTRK3","87859751","88256791","15"
"SCARA5","27869883","27992673","8"
"LRPAP1","3503612","3532446","4"
"CPA2","130266863","130289798","7"
"CLEC1B","9985642","10013424","12"
"FOLR2","72216601","72221950","11"
"MSR1","16107878","16567490","8"
"JAM2","25639258","25717562","21"
"RGMA","93035271","93089211","15"
"DKK1","52314281","52318042","10"
"BIN2","51281038","51324668","12"
"CCN5","44714844","44728509","20"
"CGA","87085498","87095106","6"
"APP","25880535","26171128","21"
"ITGAM","31259967","31332892","16"
"APOH","66212033","66256525","17"
"MIF","23894004","23895227","22"
"NPTX1","80466834","80477843","17"
"GGT1","24594811","24629005","22"
"BCAM","44809071","44821421","19"
"STIP1","64185272","64204543","11"
"AHSP","31527900","31528803","16"
"DSC2","31058840","31102522","18"
"CD164","109366514","109382467","6"
"NRP2","205681990","205798133","2"
"SIGLEC5","51610960","51645545","19"
"MMP3","102835801","102843609","11"
"WARS","100333790","100376805","14"
"NID2","52004809","52069059","14"
"HARS1","140673035","140691537","5"
"PEBP1","118136124","118145584","12"
"SERPINB1","2832332","2841959","6"
"IL17RA","17084954","17115693","22"
"CLEC14A","38254000","38256093","14"
"GP6","54684540","55071420","19"
"CNTN3","74262568","74614659","3"
"INHBC","57434784","57452062","12"
"PIK3IP1","31281594","31292534","22"
"NCAM2","20998409","21543329","21"
"CA6","8945867","8975092","1"
"SPINK1","147824572","147831671","5"
"SUSD2","24181487","24189106","22"
"MESD","80946289","80989828","15"
"MPO","58269855","58280935","17"
"GUCA2A","42162690","42164745","1"
"MMP9","46008908","46016561","20"
"THBS2","169215780","169254050","6"
"PLA2G7","46704201","46735693","6"
"NOMO1","14833721","14896157","16"
"TNXB","31989596","32194037","6"
"CD109","73695785","73828316","6"
"SPINT1","40844018","40858207","15"
"CD99","2691187","2741309","X"
"FCRL5","157513377","157552515","1"
"CLEC11A","50723364","50725708","19"
"DSG2","31498177","31549008","18"
"SOD2","159669069","159762529","6"
"NUDT5","12165330","12196144","10"
"IL1R1","102064544","102179874","2"
"CNTN4","2098813","3057959","3"
"TMSB10","84905656","84906671","2"
"CD177","43353686","43363172","19"
"TREML2","41189749","41201149","6"
"MYOC","171635417","171652688","1"
"CD99L2","150766336","150898816","X"
"OGN","92383268","92404696","9"
"PLAU","73909177","73917496","10"
"EFNA1","155127876","155134899","1"
"IL1RAP","190514051","190659750","3"
"B4GAT1","66345374","66347629","11"
"ALDH1A1","72900671","73080442","9"
"PILRA","100367530","100400096","7"
"CD300LG","43847148","43863639","17"
"PECAM1","64319415","64413776","17"
"GNLY","85685175","85698852","2"
"FCER2","7688758","7702146","19"
"MFGE8","88898683","88913468","15"
"TXNRD1","104215779","104350307","12"
"IL7R","35852695","35879603","5"
"HAVCR2","157085422","157142869","5"
"ARSA","50622754","50628173","22"
"ITGA5","54395261","54419266","12"
"FYB1","39105252","39274528","5"
"BLVRB","40447765","40465764","19"
"RELT","73376399","73397474","11"
"DBI","119366924","119372550","2"
"VSIG4","66021738","66040125","X"
"TNFRSF1B","12166991","12209228","1"
"IGF2R","159969082","160113507","6"
"TIMP4","12153068","12158912","3"
"SPINK5","148025683","148137382","5"
"CA2","85463968","85481493","8"
"CTRB1","75218988","75226338","16"
"F11R","160995211","161021343","1"
"LILRA2","54503437","54595774","19"
"PAMR1","35431823","35530300","11"
"TFF1","42362282","42366535","21"
"TNFRSF1A","6328757","6342114","12"
"CLPS","35794982","35797344","6"
"STC2","173314723","173328447","5"
"IGFBP4","40443450","40457725","17"
"GRN","44345246","44353106","17"
"PARK7","7954291","7985505","1"
"SCP2","52927276","53051698","1"
"ANKRD54","37830855","37849327","22"
"RABEPK","125200542","125234161","9"
"VTCN1","117143587","117210960","1"
"SFTPA1","79610939","79615455","10"
"RAD23B","107283137","107332192","9"
"NINJ1","93121496","93134251","9"
"GH2","63880215","63881944","17"
"PSRC1","109279556","109283186","1"
"STX16","58651253","58679526","20"
"CEACAM5","41708585","41730433","19"
"PQBP1","48890197","48903402","X"
"GSAP","77310751","77416349","7"
"RRM2B","102204502","102238961","8"
"HGS","81683326","81703138","17"
"PDP1","93857807","93926068","8"
"RARRES1","158696892","158732489","3"
"ATP6AP2","40579372","40606848","X"
"RNF41","56202179","56221933","12"
"SMAD1","145481194","145559176","4"
"MAGED1","51803007","51902354","X"
"CAMKK1","3860315","3894891","17"
"PDGFC","156760454","156971799","4"
"PPM1A","60245752","60299087","14"
"KIR3DL1","54746462","54878560","19"
"MZT1","72708367","72727629","13"
"RRM2","10120698","10211725","2"
"ADCYAP1R1","31052308","31111474","7"
"UXS1","106093308","106194301","2"
"LTBP3","65538559","65558930","11"
"FEN1","61792911","61797238","11"
"FCRLB","161721544","161728143","1"
"RASSF2","4780023","4823608","20"
"CA11","48637946","48646187","19"
"KIR2DL3","54668491","54761521","19"
"AKT3","243488233","243855434","1"
"BGN","153494980","153509546","X"
"BTC","74744759","74794523","4"
"CCT5","10249929","10266389","5"
"KLK12","51029092","51035230","19"
"ARHGAP1","46677080","46700619","11"
"RANGAP1","41244779","41286187","22"
"MAVS","3846799","3876123","20"
"ZBTB16","114059041","114256765","11"
"MAEA","1289887","1340147","4"
"FES","90883695","90895776","15"
"NTF4","49061066","49065076","19"
"CEP20","15865719","15973769","16"
"LSM1","38163335","38176730","8"
"RUVBL1","128064778","128160821","3"
"NFKBIE","44258166","44265788","6"
"IKZF2","212999691","213152427","2"
"SLAMF8","159826811","159837492","1"
"FCGR2B","161663143","161678654","1"
"GFOD2","67674531","67719339","16"
"BIRC2","102347211","102378670","11"
"SFTPA2","79555852","79560407","10"
"STX6","180972712","181023121","1"
"TBL1X","9463320","9741037","X"
"PSMA1","14504874","14643635","11"
"SH2B3","111405923","111451623","12"
"NDUFS6","1801407","1816048","5"
"PRKRA","178431292","178451512","2"
"DDX58","32455302","32526208","9"
"NAMPT","106248298","106285966","7"
"CLEC6A","8455962","8478330","12"
"SUGT1","52652709","52700909","13"
"CHAC2","53767804","53775196","2"
"GNE","36214441","36277042","9"
"TP53","7661779","7687538","17"
"FMR1","147911919","147951125","X"
"AIF1","31597358","31693314","6"
"NPTN","73560014","73634134","15"
"MED18","28329002","28335965","1"
"CDC27","47117703","47189422","17"
"FLI1","128686535","128813267","11"
"STXBP3","108746674","108809523","1"
"CEP85","26234200","26278808","1"
"GSTA3","52896639","52909698","6"
"AGR3","16859412","16881987","7"
"AKR1B1","134442356","134459284","7"
"CEACAM3","41796587","41811554","19"
"ATG4A","108091668","108154671","X"
"GFAP","44903159","44916937","17"
"LHB","49015980","49017091","19"
"CRACR2A","3606633","3764819","12"
"BAIAP2","81035122","81117434","17"
"LYPD8","248739415","248755759","1"
"EGFL7","136658856","136672678","9"
"MAP3K5","136557046","136793097","6"
"SLAMF6","160485030","160523262","1"
"ARHGAP25","68679601","68826833","2"
"FUS","31180138","31191605","16"
"CRH","66176376","66178464","8"
"PLXDC1","39063313","39154394","17"
"GFER","1984193","1987749","16"
"ENTPD2","137048107","137054061","9"
"CFC1","130592165","130599575","2"
"SORCS2","7192538","7742836","4"
"GCG","162142882","162152404","2"
"LYAR","4267701","4290154","4"
"CD28","203706475","203738912","2"
"HPGDS","94298535","94342876","4"
"BAMBI","28677510","28682932","10"
"ITGB1BP1","9403475","9423528","2"
"ACAA1","38103129","38137242","3"
"TPMT","18128311","18155077","6"
"FOXO3","108559835","108684774","6"
"FLT3","28003274","28100592","13"
"PDCD1LG2","5510531","5571282","9"
"IGF1R","98648539","98964530","15"
"ADAMTS15","130448645","130476645","11"
"STAT5B","42199176","42288633","17"
"SF3B4","149923317","149927803","1"
"SEPTIN9","77280569","77500596","17"
"ABL1","130713043","130887675","9"
"VPS53","470782","721717","17"
"CDHR2","176542511","176595974","5"
"POLR2F","37952607","38041915","22"
"SERPINA9","94462717","94479689","14"
"TACC3","1712858","1745171","4"
"TBC1D23","100260992","100325251","3"
"AIFM1","130124666","130165879","X"
"MPI","74890005","74902219","15"
"SEZ6L2","29871159","29899550","16"
"LPCAT2","55509072","55586666","16"
"KLK13","51055626","51065114","19"
"LAT2","74199652","74229834","7"
"LRP1","57128483","57213361","12"
"ADGRG1","57610652","57665580","16"
"CDKN2D","10566460","10569059","19"
"KRT18","52948871","52952906","12"
"COX5B","97646062","97648383","2"
"CD207","70830211","70835816","2"
"DDAH1","85318481","85578363","1"
"FLT1","28300346","28495145","13"
"RP2","46837043","46882358","X"
"HS3ST3B1","14301081","14349404","17"
"PSMD9","121888732","121918297","12"
"DPEP2","67987394","68000586","16"
"CALB1","90058608","90095475","8"
"MME","155024124","155183704","3"
"NUDT2","34329506","34343711","9"
"GRPEL1","7058671","7068085","4"
"VNN2","132743870","132763459","6"
"AARSD1","42950526","42964498","17"
"IGSF3","116574399","116667755","1"
"DKKL1","49361783","49375116","19"
"INPPL1","72223701","72239147","11"
"LAG3","6772512","6778455","12"
"CD38","15778275","15853232","4"
"CNPY4","100119634","100125508","7"
"CDNF","14819245","14838575","10"
"CDKN1A","36676460","36687337","6"
"KIFBP","68988803","69043544","10"
"TAFA5","48489553","48850912","22"
"ST3GAL1","133454848","133571940","8"
"ERBIN","65883128","66082546","5"
"SRP14","40035690","40039181","15"
"DSG4","31376777","31414912","18"
"STX4","31032889","31042975","16"
"IL12A_IL12B","159988835","159996019","3"
"CD302","159768628","159798255","2"
"SEMA4C","96859718","96870757","2"
"GFRA2","21690398","21812357","8"
"ARSB","78777209","78986087","5"
"SCAMP3","155255979","155277834","1"
"LRRC25","18391137","18397622","19"
"DCTN2","57529633","57547224","12"
"DRG2","18087892","18107970","17"
"UBAC1","135932969","135961373","9"
"ELOA","23743448","23762059","1"
"ERP44","99979185","100099052","9"
"KAZALD1","101061989","101068131","10"
"CES3","66961245","66975149","16"
"ATP6V1D","67294371","67360265","14"
"EPHA2","16124337","16156069","1"
"RTBDN","12825478","12835428","19"
"CA12","63321378","63381846","15"
"INPP1","190343570","190371665","2"
"RET","43077064","43130351","10"
"PPME1","74171267","74254703","11"
"YES1","721588","812546","18"
"DTX3","57604622","57609804","12"
"LYN","55879835","56014169","8"
"ICOSLG","44215382","44241446","21"
"OMG","31272013","31297539","17"
"SMAD5","136132845","136188747","5"
"DPP6","153748133","154894285","7"
"VPS37A","17246931","17302427","8"
"PFKFB2","207034366","207081024","1"
"AREG","74445136","74455005","4"
"PODXL","131500262","131558217","7"
"APBB1IP","26438341","26567803","10"
"OGFR","62804835","62814000","20"
"IQGAP2","76403285","76708132","5"
"OPTC","203494153","203508949","1"
"DNAJB1","14514769","14560391","19"
"TMPRSS15","18269116","18485879","21"
"RBP2","139452884","139480747","3"
"CES2","66934444","66945096","16"
"USO1","75724577","75814286","4"
"CCN1","85580761","85584589","1"
"RBP5","7114967","7128889","12"
"AMIGO2","47075707","47079959","12"
"GALNT10","154190730","154420984","5"
"FAM3B","41304212","41357727","21"
"DEFB4A_DEFB4B","7894677","12098729","8"
"S100A12","153373711","153375621","1"
"SIRT2","38878555","38899898","19"
"GPA33","167052836","167166479","1"
"GALNT7","173168811","173323967","4"
"MUC16","8848844","8981342","19"
"GCNT1","76419850","76651203","9"
"MSLN","760734","768865","16"
"VMO1","4785285","4786433","17"
"VAT1","43014607","43025123","17"
"ALPP","232378724","232382889","2"
"MOG","29653572","29672869","6"
"HMBS","119084866","119093834","11"
"CBLN4","55997357","56005519","20"
"CALCOCO1","53708517","53727745","12"
"NPY","24284188","24291862","7"
"EBI3_IL27","4229523","4237528","19"
"SIGLEC9","51124906","51136651","19"
"KLK4","50906351","50911395","19"
"CPE","165361194","165498547","4"
"ITGB7","53191323","53207282","12"
"SIGLEC6","51517819","51531856","19"
"HAO1","7882985","7940458","20"
"PDCD1","241849881","241858908","2"
"EPS8L2","694438","727727","11"
"XCL1","168576605","168582069","1"
"DCTN1","74361154","74392087","2"
"SCG2","223596940","223602361","2"
"CA14","150257251","150265078","1"
"FGF21","48755524","48758333","19"
"TRIAP1","120443964","120446384","12"
"PRDX6","173477330","173488815","1"
"CTSV","97029677","97156556","9"
"LGALS7_LGALS7B","38789280","38791794","19"
"KLK14","51077495","51084245","19"
"HSPB6","35754566","35758079","19"
"SLITRK2","145817829","145829856","X"
"DPY30","31867809","32039805","2"
"FGF23","4368227","4379712","12"
"ANGPTL7","11189355","11195981","1"
"AMBP","114060127","114078328","9"
"CASP8","201233443","201361836","2"
"RSPO3","127118671","127199481","6"
"ITGAV","186590010","186680901","2"
"CA9","35673928","35681159","9"
"CD300E","74609885","74623738","17"
"CLMP","123069872","123195248","11"
"PVALB","36800684","36819479","22"
"VWA1","1434861","1442882","1"
"HAVCR1","157026742","157069396","5"
"GALNT2","230057990","230282122","1"
"RTN4R","20241415","20283246","22"
"SCLY","238060924","238099413","2"
"CNTN2","205042937","205078289","1"
"CRNN","152409243","152414263","1"
"DAB2","39371675","39462300","5"
"LRIG1","66378797","66501263","3"
"CAPG","85394753","85418432","2"
"ACP6","147629652","147670524","1"
"HBQ1","180459","181179","16"
"APEX1","20455191","20457772","14"
"CPVL","28995235","29195451","7"
"RILP","1646145","1650077","17"
"METAP2","95473520","95515839","12"
"GPC1","240435663","240468076","2"
"MMP12","102862736","102874982","11"
"F3","94529173","94541759","1"
"HS6ST1","128236716","128318868","2"
"FXN","69035751","69079076","9"
"PRTG","55611544","55743152","15"
"CCN4","133191039","133231690","8"
"ARG1","131470832","131584332","6"
"TNFRSF19","23570370","23676104","13"
"TACSTD2","58575433","58577252","1"
"NUCB2","17208153","17349980","11"
"CD5","61102489","61127852","11"
"SPINK6","148202794","148215137","5"
"EDA2R","66595637","66639298","X"
"LTA4H","96000753","96043520","12"
"SORD","45023147","45077185","15"
"LEFTY2","225936598","225941383","1"
"HDGF","156742109","156766925","1"
"CRISP2","49692358","49713590","6"
"GFRA1","116056925","116276803","10"
"NCS1","130172404","130237303","9"
"HAGH","1795620","1827157","16"
"DSG3","31447741","31478702","18"
"SMOC1","69854131","70032366","14"
"WFDC12","45123425","45124465","20"
"ANGPT2","6499632","6563409","8"
"WIF1","65050626","65121305","12"
"HBEGF","140332843","140346603","5"
"CCL8","34319435","34321402","17"
"ADM","10305073","10307397","11"
"IDUA","986997","1004564","4"
"CD300LF","74694311","74712978","17"
"CDC37","10391133","10420121","19"
"HTRA2","74529596","74533350","2"
"CD33","51225064","51243860","19"
"PLA2G15","68245304","68261058","16"
"DCBLD2","98795941","98901695","3"
"PPP1R12A","79773563","79935460","12"
"ATOX1","151742316","151772532","5"
"TJAP1","43477523","43506556","6"
"FGFR2","121478332","121598458","10"
"CPXM1","2794074","2800627","20"
"DCXR","82035136","82037709","17"
"C4BPB","207088860","207099993","1"
"TNFRSF12A","3018445","3022383","16"
"CD1C","158289923","158294774","1"
"L1CAM","153861514","153886173","X"
"FOLR3","72114869","72139892","11"
"NBL1","19596979","19658456","1"
"PODXL2","127629185","127672802","3"
"SEZ6L","26169462","26383597","22"
"MDK","46380756","46383837","11"
"NECTIN4","161070998","161089558","1"
"FLT4","180601506","180649624","5"
"MANSC1","12326056","12350242","12"
"TGFBR2","30606601","30694142","3"
"NELL1","20669551","21575686","11"
"TXNDC15","134874371","134901635","5"
"TEK","27109141","27230174","9"
"KDR","55078481","55125595","4"
"NT5E","85449584","85495791","6"
"KLK1","50819146","50823787","19"
"CTSF","66563464","66568879","11"
"CIAPIN1","57428187","57447420","16"
"ADAMTS8","130404923","130428609","11"
"SIAE","124633113","124695707","11"
"IL13RA1","118727133","118794535","X"
"WFDC2","45469753","45481532","20"
"SNAP29","20859007","20891214","22"
"FGFBP1","15935577","15938740","4"
"XPNPEP2","129738949","129769536","X"
"P4HB","81843159","81860856","17"
"ERBB4","211375717","212538841","2"
"SPARC","151661096","151686975","5"
"TFPI2","93885396","93890753","7"
"MSRA","10054292","10428891","8"
"FURIN","90868588","90883564","15"
"CREG1","167529117","167553805","1"
"PPY","43940804","43942476","17"
"KLK8","50996007","51002711","19"
"KLK11","51022216","51028039","19"
"S100A4","153543613","153550136","1"
"ERBB2","39687914","39730426","17"
"SRC","37344685","37406050","20"
"ITGB5","124761948","124901418","3"
"KLK10","51012739","51020175","19"
"VEGFC","176683538","176792922","4"
"DLL1","170282206","170306565","6"
"KLK6","50958631","50969673","19"
"CD27","6444955","6451718","12"
"CEACAM1","42507304","42561234","19"
"FOLR1","72189558","72196323","11"
"LYPD3","43460787","43465608","19"
"MIA","40771648","40777490","19"
"RTKN2","62183035","62268844","10"
"DENND2B","8693351","8910951","11"
"BHMT2","79069767","79090069","5"
"SNU13","41673933","41690504","22"
"THRAP3","36224432","36305357","1"
"TRAF3IP2","111555381","111606906","6"
"NOP56","2652593","2658393","20"
"SKIV2L","31941262","32046194","6"
"LAMA1","6941742","7117797","18"
"TPM3","154155308","154194648","1"
"GCLM","93885199","93909456","1"
"EIF2AK3","88556741","88691518","2"
"MYH4","10443290","10469559","17"
"ATP2B4","203626832","203744081","1"
"CASQ2","115700021","115768714","1"
"CACNA1H","1153106","1221771","16"
"ATP1B3","141876124","141926549","3"
"MED21","27022546","27066343","12"
"ADRA2A","111077029","111080907","10"
"TMED10","75131469","75176612","14"
"RAB39B","155258235","155264491","X"
"RPS10","34417454","34426069","6"
"HIP1","75533298","75738962","7"
"CSF2","132073789","132076170","5"
"MAP1LC3B2","116548105","116576606","12"
"REXO2","114439435","114450279","11"
"NXPE4","114570591","114595786","11"
"SLC12A2","128083766","128189677","5"
"FDX1","110429948","110464884","11"
"ATP5F1D","1241746","1244825","19"
"ACSL1","184755595","184826818","4"
"UGDH","39498755","39528311","4"
"ITPA","3208868","3223870","20"
"EXOSC10","11066618","11099869","1"
"PDE4D","58969038","60522120","5"
"RYR1","38433691","38595273","19"
"ACY3","67642555","67650730","11"
"NOS2","27756766","27800529","17"
"HCG22","31045946","31138413","6"
"NECAP2","16440721","16460078","1"
"RBM19","113816738","113966325","12"
"CYP24A1","54153446","54173986","20"
"KRT17","41619442","41624842","17"
"BRD3","134030305","134068535","9"
"ERVV-1","53013921","53016123","19"
"TSPAN15","69451465","69507666","10"
"UBQLN3","5507300","5509958","11"
"CD2","116754430","116769229","1"
"SHD","4279266","4290722","19"
"MEGF11","65895079","66265884","15"
"NUP50","45163925","45188017","22"
"PGLYRP4","153330120","153348841","1"
"NUDT15","48037726","48047221","13"
"TEF","41367333","41399326","22"
"SCGB2A2","62270158","62273160","11"
"NEB","151485336","151734487","2"
"CPTP","1324756","1328896","1"
"SLC51B","65045387","65053397","15"
"TTN","178525989","178830802","2"
"GASK1A","42979087","43067898","3"
"MTR","236795260","236921278","1"
"SAT1","23783173","23786210","X"
"IGF2BP3","23310209","23470491","7"
"SART1","65961728","65980137","11"
"EXTL1","26019884","26036464","1"
"CEP112","65635537","66192133","17"
"NPR1","153678688","153693992","1"
"ZCCHC8","122471599","122501073","12"
"ATP1B2","7646627","7657770","17"
"USP47","11841423","11961887","11"
"MYL1","210290150","210315174","2"
"ARL2BP","57245259","57253635","16"
"RAB33A","130171962","130184870","X"
"IGHMBP2","68903863","68940602","11"
"ATP1B1","169105697","169310992","1"
"PMM2","8788823","8862534","16"
"DDA1","17309518","17323298","19"
"ELOB","2771414","2777289","16"
"TRPV3","3510502","3557812","17"
"IFNW1","21140632","21141832","9"
"ABRAXAS2","124801819","124836667","10"
"MYOM2","2044989","2165552","8"
"HADH","107989714","108035241","4"
"GAMT","1397026","1401570","19"
"NFYA","41072974","41102403","6"
"ENPEP","110365733","110565285","4"
"EDEM2","35115364","35147336","20"
"DHODH","72008588","72027664","16"
"RIPK4","41739369","41767089","21"
"GBP6","89364059","89388160","1"
"PRKD2","46674275","46717127","19"
"MANSC4","27762427","27780236","12"
"ECI2","4115693","4135597","6"
"TPR","186311652","186375693","1"
"CALY","133324072","133336935","10"
"HSD17B3","96235306","96302176","9"
"ABCA2","137007234","137028915","9"
"FDX2","10309916","10316015","19"
"GUK1","228139962","228148984","1"
"PROCR","35172072","35216240","20"
"PYY","43952733","44004469","17"
"PDZD2","31639131","32110932","5"
"ENOX2","130622325","130903234","X"
"SPINK8","48306842","48333661","3"
"TMED4","44577894","44582287","7"
"FRMD4B","69168782","69542583","3"
"EIF5","103333544","103345025","14"
"HMGCS1","43287470","43313512","5"
"NFX1","33290512","33371157","9"
"MMUT","49430360","49463253","6"
"NFKB1","102501330","102617302","4"
"ANK2","112818032","113384221","4"
"LILRA4","54315894","54347168","19"
"KIF1C","4997950","5028401","17"
"GSTM4","109656099","109665496","1"
"B3GAT3","62615296","62622154","11"
"ARL13B","93980139","94055678","3"
"ATP6V1G2","31526639","31623190","6"
"ARNTL","13276652","13387266","11"
"KRT6C","52468516","52473805","12"
"ASS1","130444961","130501274","9"
"UHRF2","6413151","6507054","9"
"PMCH","102196459","102197833","12"
"COPB2","139353946","139389736","3"
"GP1BB","19723539","19724771","22"
"KIF22","29790727","29805385","16"
"CSRP3","19182030","19210571","11"
"CBX2","79778148","79787983","17"
"MRPL24","156737303","156741590","1"
"BRDT","91949343","92014426","1"
"C1GALT1C1","120625674","120630054","X"
"YOD1","207043849","207052980","1"
"PALM3","14053363","14062076","19"
"CSDE1","114716913","114758676","1"
"PKD2","88007635","88077777","4"
"TSNAX","231528541","231566524","1"
"PACS2","105300563","105398147","14"
"FHIP2A","114821744","114899832","10"
"NAA10","153929225","153935080","X"
"VSIG10L","51331536","51342139","19"
"LPP","188153284","188890671","3"
"LRCH4","100574011","100586129","7"
"ACTN2","236664141","236764631","1"
"VIPR1","42489299","42537573","3"
"PNMA1","73711783","73714384","14"
"TOR1AIP1","179882042","179920077","1"
"SEL1L","81471547","81533853","14"
"GNPDA1","141991749","142013041","5"
"NUDT10","51332231","51337525","X"
"MYBPC2","50432892","50466321","19"
"CBS","43053191","43076943","21"
"OPLAH","144051266","144063965","8"
"PYDC1","31215962","31217135","16"
"ANP32C","164197007","164197711","4"
"AIF1L","131096476","131123152","9"
"SNED1","240998618","241095568","2"
"PAGR1","29816152","29822489","16"
"SIL1","138946724","139293557","5"
"M6PR","8940361","8949761","12"
"ENO3","4948092","4957131","17"
"IGSF21","18107798","18378483","1"
"HRC","49151198","49155396","19"
"LMOD1","201896456","201946588","1"
"DMP1","87650280","87664361","4"
"HMGCL","23801885","23838620","1"
"SNX5","17941597","17968980","20"
"ITPR1","4493345","4847506","3"
"COQ7","19067614","19080095","16"
"RNF5","32126831","32257219","6"
"LONP1","5691834","5720572","19"
"BECN1","42810134","42833350","17"
"CCER2","38908980","38912194","19"
"COMMD1","61888724","62147247","2"
"DMD","31097677","33339609","X"
"EDN1","12290361","12297194","6"
"SCRIB","143777927","143815773","8"
"ROBO4","124883691","124898500","11"
"OXCT1","41730065","41870425","5"
"PECR","215996329","216082955","2"
"EHD3","31234152","31269451","2"
"IDO1","39902275","39928790","8"
"ENTR1","136401922","136410614","9"
"HSBP1","83719311","83819737","16"
"FSHB","30231014","30235261","11"
"RECK","36036913","36124455","9"
"RNF149","101271219","101308701","2"
"AAMDC","77821109","77918432","11"
"GADD45GIP1","12953119","12957223","19"
"RNASE10","20505537","20513884","14"
"ECHS1","133362485","133373354","10"
"CEP170","243124428","243255348","1"
"KHK","27086772","27100762","2"
"ATP6V1G1","114587706","114598915","9"
"HS1BP3","20560448","20651130","2"
"AHNAK2","104937244","104978374","14"
"MYL4","47200446","47223679","17"
"APOBR","28494643","28498964","16"
"DNAJC6","65248219","65415871","1"
"FAM172A","93617725","94111699","5"
"CALCOCO2","48831018","48866522","17"
"EPPK1","143857324","143878467","8"
"MYL3","46835111","46882172","3"
"NIT1","161118086","161125445","1"
"GATD3","44133610","44210114","21"
"FSTL1","120392293","120450993","3"
"DLL4","40929340","40939073","15"
"HSDL2","112380080","112472405","9"
"RBPMS2","64739891","64775589","15"
"RANBP1","20115938","20127355","22"
"INPP5D","233059967","233207903","2"
"AHNAK","62433542","62556235","11"
"SIGLEC8","51450847","51458456","19"
"MAN1A2","117367449","117528872","1"
"ANXA2","60347134","60402883","15"
"GRP","59220158","59230774","18"
"ZP3","76397518","76442071","7"
"LIPF","88664441","88678814","10"
"BOLA2_BOLA2B","29453590","29454351","16"
"NFE2","54292111","54301015","12"
"SEC31A","82818509","82901166","4"
"EIF2S2","34088309","34112243","20"
"NAGK","71064344","71079808","2"
"CRYZL1","33589341","33643926","21"
"ENPP6","184088706","184221230","4"
"MECR","29192657","29230942","1"
"ADAMTSL4","150549369","150560937","1"
"PRRT3","9939450","9952408","3"
