Filename,SomaScan_Symbol,SomaScan_Sequence_ID,Gene name,Biomart_Chromosome,Biomart_TranscriptStart,Biomart_TranscriptEnd
12651_21_PDK2_PDK2.txt.gz,PDK2,12651_21,PDK2,17,50094737,50112152
12652_37_AHCYL1_SAHH2.txt.gz,AHCYL1,12652_37,AHCYL1,1,109984765,110023742
12653_13_CSNK1G2_CSNK1G2.txt.gz,CSNK1G2,12653_13,CSNK1G2,19,1941172,1981338
12655_30_NAPB_SNAB.txt.gz,NAPB,12655_30,NAPB,20,23374519,23421519
12656_1_KLC1_KLC1.txt.gz,KLC1,12656_1,KLC1,14,103561896,103714249
12657_2_TSTA3_FCL.txt.gz,TSTA3,12657_2,TSTA3,8,143612618,143618048
12658_72_PANK3_PANK3.txt.gz,PANK3,12658_72,PANK3,5,168548495,168579368
12659_13_OLA1_GTPB9.txt.gz,OLA1,12659_13,OLA1,2,174072447,174248599
12661_44_GABARAPL1_GBRL1.txt.gz,GABARAPL1,12661_44,GABARAPL1,12,10212458,10223128
12662_82_ECH1_ECH1.txt.gz,ECH1,12662_82,ECH1,19,38815422,38831841
12663_1_TST_THTR.txt.gz,TST,12663_1,TST,22,37010859,37020183
12664_19_PTPN13_PTN13.txt.gz,PTPN13,12664_19,PTPN13,4,86594315,86815171
12665_16_ILF2_ILF2.txt.gz,ILF2,12665_16,ILF2,1,153661788,153671028
12667_2_GDA_GUAD.txt.gz,GDA,12667_2,GDA,9,72114595,72257193
12668_7_VPS4B_VPS4B.txt.gz,VPS4B,12668_7,VPS4B,18,63389190,63422483
12669_30_HECW1_HECW1.txt.gz,HECW1,12669_30,HECW1,7,43112629,43566001
12670_15_RAD1_RAD1.txt.gz,RAD1,12670_15,RAD1,5,34905260,34918989
12671_35_SULT1B1_ST1B1.txt.gz,SULT1B1,12671_35,SULT1B1,4,69721167,69787961
12675_14_DARS_SYDC.txt.gz,DARS,12675_14,DARS,2,135905881,135986100
12676_1_PACSIN1_PACN1.txt.gz,PACSIN1,12676_1,PACSIN1,6,34466061,34535229
12677_164_FLII_FLII.txt.gz,FLII,12677_164,FLII,17,18244815,18258738
12678_66_SNRPA_SNRPA.txt.gz,SNRPA,12678_66,SNRPA,19,40750637,40765389
12681_63_USP21_UBP21.txt.gz,USP21,12681_63,USP21,1,161159450,161165723
12682_5_CCBL2_KAT3.txt.gz,CCBL2,12682_5,CCBL2,1,88935773,88992953
12683_156_DPYSL5_DPYL5.txt.gz,DPYSL5,12683_156,DPYSL5,2,26847747,26950351
12684_5_SCIN_ADSV.txt.gz,SCIN,12684_5,SCIN,7,12570577,12660182
12685_57_HOMER2_HOME2.txt.gz,HOMER2,12685_57,HOMER2,15,82836946,82986153
12686_15_MPST_THTM.txt.gz,MPST,12686_15,MPST,22,37019635,37029821
12687_2_DECR1_DECR.txt.gz,DECR1,12687_2,DECR1,8,90001405,90053633
12688_115_RPS6KA6_KS6A6.txt.gz,RPS6KA6,12688_115,RPS6KA6,X,84058346,84206356
12689_56_ARPC1B_ARC1B.txt.gz,ARPC1B,12689_56,ARPC1B,7,99374249,99394816
12690_33_SEPT10_SEP10.txt.gz,Sep-10,12690_33,SEPT10,2,109542799,109614143
12691_44_SHMT2_GLYM.txt.gz,SHMT2,12691_44,SHMT2,12,57229573,57234935
12692_56_DOT1L_DOT1L.txt.gz,DOT1L,12692_56,DOT1L,19,2163933,2232578
12693_2_SH3BGRL_SH3L1.txt.gz,SH3BGRL,12693_2,SH3BGRL,X,81202102,81298547
12694_28_DIMT1_DIM1.txt.gz,DIMT1,12694_28,DIMT1,5,62347284,62403943
12695_62_KLHL12_KLH12.txt.gz,KLHL12,12695_62,KLHL12,1,202891116,202928636
12696_166_PRMT3_ANM3.txt.gz,PRMT3,12696_166,PRMT3,11,20387558,20509338
12697_30_PIP4K2A_PI42A.txt.gz,PIP4K2A,12697_30,PIP4K2A,10,22534854,22714578
12698_72_KPNA4_IMA4.txt.gz,KPNA4,12698_72,KPNA4,3,160495007,160565571
12699_28_CCT8_TCP_1_theta.txt.gz,CCT8,12699_28,CCT8,21,29055805,29073797
12700_9_ACLY_ACLY.txt.gz,ACLY,12700_9,ACLY,17,41866917,41930542
12701_1_EIF1B_EIF1B.txt.gz,EIF1B,12701_1,EIF1B,3,40309707,40312424
12702_13_PELI2_PELI2.txt.gz,PELI2,12702_13,PELI2,14,56117814,56301524
12703_6_NEK7_NEK7.txt.gz,NEK7,12703_6,NEK7,1,198156994,198322420
12704_26_SH2D3C_SH2D3.txt.gz,SH2D3C,12704_26,SH2D3C,9,127738317,127778710
12705_9_HERC1_HERC1.txt.gz,HERC1,12705_9,HERC1,15,63608618,63833948
12706_2_CDC42BPA_MRCKA.txt.gz,CDC42BPA,12706_2,CDC42BPA,1,226989865,227318492
12707_26_DPYSL3_DPYL3.txt.gz,DPYSL3,12707_26,DPYSL3,5,147390808,147510068
12708_91_L3MBTL2_LMBL2.txt.gz,L3MBTL2,12708_91,L3MBTL2,22,41205282,41231271
12709_63_H1FX_H1X.txt.gz,H1FX,12709_63,H1FX,3,129314771,129316286
12711_19_GJA8_CXA8.txt.gz,GJA8,12711_19,GJA8,1,147902795,147909269
12712_9_HMG20A_HM20A.txt.gz,HMG20A,12712_9,HMG20A,15,77420412,77485607
12713_365_RGS19_RGS19.txt.gz,RGS19,12713_365,RGS19,20,64073181,64079988
12714_38_AP1G2_AP1G2.txt.gz,AP1G2,12714_38,AP1G2,14,23559565,23568070
12715_30_DCP1B_DCP1B.txt.gz,DCP1B,12715_30,DCP1B,12,1946053,2004535
12716_3_ZNF175_ZN175.txt.gz,ZNF175,12716_3,ZNF175,19,51571283,51592510
12717_65_TOX3_TOX3.txt.gz,TOX3,12717_65,TOX3,16,52436417,52547802
12718_43_PIN4_PIN4.txt.gz,PIN4,12718_43,PIN4,X,72181353,72302926
12720_71_UBQLN4_UBQL4.txt.gz,UBQLN4,12720_71,UBQLN4,1,156035299,156053798
12721_4_TAX1BP1_TAXB1.txt.gz,TAX1BP1,12721_4,TAX1BP1,7,27739331,27844564
12724_81_CIRBP_CIRBP.txt.gz,CIRBP,12724_81,CIRBP,19,1259384,1274880
12726_3_RFXAP_RFXAP.txt.gz,RFXAP,12726_3,RFXAP,13,36819222,36829104
12727_7_PTGFRN_FPRP.txt.gz,PTGFRN,12727_7,PTGFRN,1,116909916,116990353
12729_12_PSMG3_PSMG3.txt.gz,PSMG3,12729_12,PSMG3,7,1567332,1571005
12730_3_NDC80_KNTC2.txt.gz,NDC80,12730_3,NDC80,18,2571557,2616635
12731_12_PLEKHA7_PKHA7.txt.gz,PLEKHA7,12731_12,PLEKHA7,11,16777297,17014415
12732_13_MPP7_MPP7.txt.gz,MPP7,12732_13,MPP7,10,28050993,28334486
12734_112_KIF22_KIF22.txt.gz,KIF22,12734_112,KIF22,16,29790727,29805385
12735_39_CSDE1_CSDE1.txt.gz,CSDE1,12735_39,CSDE1,1,114716913,114758676
12737_12_PLS1_PLSI.txt.gz,PLS1,12737_12,PLS1,3,142596393,142713664
12738_43_NISCH_NISCH.txt.gz,NISCH,12738_43,NISCH,3,52455118,52493068
12740_55_FEV_FEV.txt.gz,FEV,12740_55,FEV,2,218981087,218985184
12742_160_TMEM8B_TMM8B.txt.gz,TMEM8B,12742_160,TMEM8B,9,35814451,35865518
12743_18_BAG5_BAG5.txt.gz,BAG5,12743_18,BAG5,14,103556545,103562657
12746_4_CYTH4_CYH4.txt.gz,CYTH4,12746_4,CYTH4,22,37282027,37315341
12747_89_RBM3_RBM3.txt.gz,RBM3,12747_89,RBM3,X,48574449,48581162
12748_6_BRDT_BRDT.txt.gz,BRDT,12748_6,BRDT,1,91949343,92014426
12750_9_ITGB2_LFA_1_beta_2.txt.gz,ITGB2,12750_9,ITGB2,21,44885953,44931989
12751_26_ZHX1_ZHX1.txt.gz,ZHX1,12751_26,ZHX1,8,123248451,123275541
12753_6_APBB2_APBB2.txt.gz,APBB2,12753_6,APBB2,4,40810027,41216714
12754_14_CSDC2_CSDC2.txt.gz,CSDC2,12754_14,CSDC2,22,41561010,41577741
12756_3_BACH2_BACH2.txt.gz,BACH2,12756_3,BACH2,6,89926528,90296843
12758_47_GRID2_GRID2.txt.gz,GRID2,12758_47,GRID2,4,92303966,93810157
12759_47_ILF3_DRBP76.txt.gz,ILF3,12759_47,ILF3,19,10654304,10692400
12760_34_ZNF774_ZN774.txt.gz,ZNF774,12760_34,ZNF774,15,90352284,90369146
12761_12_APBB2_APBB2.txt.gz,APBB2,12761_12,APBB2,4,40810027,41216714
12763_69_ZNF334_ZN334.txt.gz,ZNF334,12763_69,ZNF334,20,46499630,46513559
12764_3_ELMO1_ELMO1.txt.gz,ELMO1,12764_3,ELMO1,7,36852906,37449223
12766_33_GPR142_GP142.txt.gz,GPR142,12766_33,GPR142,17,74367458,74372600
12768_3_PPP1R3B_PPR3B.txt.gz,PPP1R3B,12768_3,PPP1R3B,8,9136255,9151574
12771_19_ZNF180_ZN180.txt.gz,ZNF180,12771_19,ZNF180,19,44474428,44500524
12772_8_NUP98_NUP98.txt.gz,NUP98,12772_8,NUP98,11,3671083,3797792
12774_12_HCN1_HCN1.txt.gz,HCN1,12774_12,HCN1,5,45254948,45696498
12775_6_HMGB3_HMGB3.txt.gz,HMGB3,12775_6,HMGB3,X,150980509,150990771
12777_11_SF1_SF01.txt.gz,SF1,12777_11,SF1,11,64764606,64778786
12779_30_PRDM4_PRDM4.txt.gz,PRDM4,12779_30,PRDM4,12,107732871,107761272
12781_2_TARBP2_TRBP2.txt.gz,TARBP2,12781_2,TARBP2,12,53500921,53506431
12783_29_HNRNPM_HNRPM.txt.gz,HNRNPM,12783_29,HNRNPM,19,8444767,8489114
12784_10_APBB3_APBB3.txt.gz,APBB3,12784_10,APBB3,5,140558268,140564781
12785_49_ZBTB33_KAISO.txt.gz,ZBTB33,12785_49,ZBTB33,X,120250752,120258398
12786_61_GPCPD1_GDE5.txt.gz,GPCPD1,12786_61,GPCPD1,20,5544439,5611006
12787_47_ZNF134_ZN134.txt.gz,ZNF134,12787_47,ZNF134,19,57614233,57624724
12788_6_CCDC101_SGF29.txt.gz,CCDC101,12788_6,CCDC101,16,28553915,28591790
12790_10_CCDC51_CCD51.txt.gz,CCDC51,12790_10,CCDC51,3,48432164,48440456
12793_4_PIWIL1_PIWL1.txt.gz,PIWIL1,12793_4,PIWIL1,12,130337887,130372637
12794_6_NLRP4_NALP4.txt.gz,NLRP4,12794_6,NLRP4,19,55836540,55881855
12795_2_ZNF566_ZN566.txt.gz,ZNF566,12795_2,ZNF566,19,36445119,36489902
12796_44_NUDT3_NUDT3.txt.gz,NUDT3,12796_44,NUDT3,6,34279679,34392669
12798_46_SLC4A8_S4A8.txt.gz,SLC4A8,12798_46,SLC4A8,12,51391317,51515763
12799_65_DNAJC27_DJC27.txt.gz,DNAJC27,12799_65,DNAJC27,2,24943636,24972094
12800_5_TPPP2_TPPP2.txt.gz,TPPP2,12800_5,TPPP2,14,21024109,21036276
12801_33_IRF2_IRF2.txt.gz,IRF2,12801_33,IRF2,4,184385702,184474558
12803_9_ZNF329_ZN329.txt.gz,ZNF329,12803_9,ZNF329,19,58126248,58155110
12804_5_GMEB2_GMEB2.txt.gz,GMEB2,12804_5,GMEB2,20,63587602,63627101
12807_89_ARHGAP30_RHG30.txt.gz,ARHGAP30,12807_89,ARHGAP30,1,161046946,161069970
12808_103_CARHSP1_CHSP1.txt.gz,CARHSP1,12808_103,CARHSP1,16,8852942,8869012
12811_55_ZNF415_ZN415.txt.gz,ZNF415,12811_55,ZNF415,19,53107879,53133077
12812_25_ACYP2_ACYP2.txt.gz,ACYP2,12812_25,ACYP2,2,53970838,54305300
12813_18_EHBP1_EHBP1.txt.gz,EHBP1,12813_18,EHBP1,2,62673851,63046487
12814_17_RNPC3_RBM40.txt.gz,RNPC3,12814_17,RNPC3,1,103525691,103555239
12815_9_IARS_SYIC.txt.gz,IARS,12815_9,IARS,9,92210207,92293854
12817_1_GEM_GEM.txt.gz,GEM,12817_1,GEM,8,94249253,94262350
12818_159_SLC14A2_UT2.txt.gz,SLC14A2,12818_159,SLC14A2,18,45212995,45683688
12820_1_GRAP_GRAP.txt.gz,GRAP,12820_1,GRAP,17,19020656,19047011
12821_6_NLRP10_NAL10.txt.gz,NLRP10,12821_6,NLRP10,11,7957537,7965447
12822_34_APBB1_APBB1.txt.gz,APBB1,12822_34,APBB1,11,6395125,6419414
12825_18_APPL1_DP13A.txt.gz,APPL1,12825_18,APPL1,3,57227726,57278105
12826_5_SLC5A5_SC5A5.txt.gz,SLC5A5,12826_5,SLC5A5,19,17871945,17895174
12827_37_RGS3_RGS3.txt.gz,RGS3,12827_37,RGS3,9,113444731,113597743
12830_4_SAP18_SAP18.txt.gz,SAP18,12830_4,SAP18,13,21140119,21149097
12831_21_TESC_TESC.txt.gz,TESC,12831_21,TESC,12,117038923,117099479
12832_10_ASH2L_ASH2L.txt.gz,ASH2L,12832_10,ASH2L,8,38105493,38144076
12834_3_KCNF1_KCNF1.txt.gz,KCNF1,12834_3,KCNF1,2,10911934,10914225
12835_101_PYDC1_PYDC1.txt.gz,PYDC1,12835_101,PYDC1,16,31215962,31217135
12838_28_DUSP15_DUS15.txt.gz,DUSP15,12838_28,DUSP15,20,31847637,31870664
12842_43_STX10_STX10.txt.gz,STX10,12842_43,STX10,19,13144058,13150383
12843_6_ZNF410_ZN410.txt.gz,ZNF410,12843_6,ZNF410,14,73886617,73932521
12844_10_BAG4_BAG4.txt.gz,BAG4,12844_10,BAG4,8,38176533,38213301
12845_18_SNX17_SNX17.txt.gz,SNX17,12845_18,SNX17,2,27370496,27377535
12846_3_FBXL5_FBXL5.txt.gz,FBXL5,12846_3,FBXL5,4,15604381,15681679
12847_27_RNGTT_MCE1.txt.gz,RNGTT,12847_27,RNGTT,6,88609897,88963618
12848_9_ARHGEF2_ARHG2.txt.gz,ARHGEF2,12848_9,ARHGEF2,1,155946851,156007070
12849_25_GSKIP_GSKIP.txt.gz,GSKIP,12849_25,GSKIP,14,96363452,96387288
12851_5_POLM_DPOLM.txt.gz,POLM,12851_5,POLM,7,44072062,44082530
12853_112_TMOD2_TMOD2.txt.gz,TMOD2,12853_112,TMOD2,15,51751597,51816363
12854_3_TEAD3_TEAD3.txt.gz,TEAD3,12854_3,TEAD3,6,35473597,35497079
12855_16_CASS4_CT032.txt.gz,CASS4,12855_16,CASS4,20,56412112,56460387
12856_14_TMEM237_TM237.txt.gz,TMEM237,12856_14,TMEM237,2,201620184,201643570
12859_33_ECI2_PECI.txt.gz,ECI2,12859_33,ECI2,6,4115693,4135597
12860_7_ARPP21_cAMP_regulated_phosphoprotein_21.txt.gz,ARPP21,12860_7,ARPP21,3,35638945,35794496
12861_13_TMOD3_TMOD3.txt.gz,TMOD3,12861_13,TMOD3,15,51829628,51947295
12862_14_NEDD9_CASL.txt.gz,NEDD9,12862_14,NEDD9,6,11183298,11382348
12864_9_NIPAL4_NIPA4.txt.gz,NIPAL4,12864_9,NIPAL4,5,157460213,157474722
12867_40_DYNLT3_DYLT3.txt.gz,DYNLT3,12867_40,DYNLT3,X,37836757,37847571
12869_68_DDX6_DDX6.txt.gz,DDX6,12869_68,DDX6,11,118747763,118791164
12871_10_TWF1_TWF1.txt.gz,TWF1,12871_10,TWF1,12,43793723,43806328
12872_35_CNGA2_CNGA2.txt.gz,CNGA2,12872_35,CNGA2,X,151734746,151745564
12873_11_SPN_LEUK.txt.gz,SPN,12873_11,SPN,16,29662979,29670876
12875_28_UBTD2_UBTD2.txt.gz,UBTD2,12875_28,UBTD2,5,172209646,172283764
12876_39_SPEF1_SPEF1.txt.gz,SPEF1,12876_39,SPEF1,20,3777504,3781448
12878_60_OSBPL11_OSB11.txt.gz,OSBPL11,12878_60,OSBPL11,3,125528858,125595497
12879_5_RBL1_p107.txt.gz,RBL1,12879_5,RBL1,20,36996349,37095997
12880_1_SV2A_SV2A.txt.gz,SV2A,12880_1,SV2A,1,149903318,149917844
12881_17_RDH16_RDH16.txt.gz,RDH16,12881_17,RDH16,12,56951431,56959374
12882_7_PARP11_PAR11.txt.gz,PARP11,12882_7,PARP11,12,3791047,3873448
12885_42_NR1D2_NR1D2.txt.gz,NR1D2,12885_42,NR1D2,3,23945286,23980617
12888_18_SAP30_SAP30.txt.gz,SAP30,12888_18,SAP30,4,173369969,173377532
12891_1_MICALL2_MILK2.txt.gz,MICALL2,12891_1,MICALL2,7,1428465,1459470
12892_10_SYTL1_SYTL1.txt.gz,SYTL1,12892_10,SYTL1,1,27342020,27353937
12893_159_IFI16_IP16.txt.gz,IFI16,12893_159,IFI16,1,158999968,159055155
12894_3_PAXIP1_PAXI1.txt.gz,PAXIP1,12894_3,PAXIP1,7,154943687,155003124
12895_28_DGKB_DGKB.txt.gz,DGKB,12895_28,DGKB,7,14145049,14974777
12904_180_CUBN_cubilin.txt.gz,CUBN,12904_180,CUBN,10,16823966,17129811
12923_51_KRT17_Keratin_17.txt.gz,KRT17,12923_51,KRT17,17,41619442,41624842
12925_105_AXIN2_AXIN2.txt.gz,AXIN2,12925_105,AXIN2,17,65528563,65561648
12931_16_NR3C2_MCR.txt.gz,NR3C2,12931_16,NR3C2,4,148078762,148444698
12933_17_ENOX1_ENOX1.txt.gz,ENOX1,12933_17,ENOX1,13,43213130,43786972
12934_1_HERC5_HERC5.txt.gz,HERC5,12934_1,HERC5,4,88457119,88506163
12936_38_RLBP1_RLBP1.txt.gz,RLBP1,12936_38,RLBP1,15,89209869,89221614
12939_1_POLR1C_RPAC1.txt.gz,POLR1C,12939_1,POLR1C,6,43509702,43562419
12940_35_ALDH3B1_AL3B1.txt.gz,ALDH3B1,12940_35,ALDH3B1,11,68008578,68029282
12945_33_RAB18_RAB18.txt.gz,RAB18,12945_33,RAB18,10,27504174,27543207
12954_71_PPARA_PPARa.txt.gz,PPARA,12954_71,PPARA,22,46150521,46243755
12956_40_KIAA1279_KBP.txt.gz,KIAA1279,12956_40,KIAA1279,10,68988803,69043544
12957_62_UQCRB_UCR6.txt.gz,UQCRB,12957_62,UQCRB,8,96222947,96235546
12960_9_GCK_HXK4.txt.gz,GCK,12960_9,GCK,7,44143213,44198170
12963_1_GPR107_GP107.txt.gz,GPR107,12963_1,GPR107,9,130053426,130140169
12968_2_CSRP2_CSRP2.txt.gz,CSRP2,12968_2,CSRP2,12,76858709,76879023
12970_35_STAU2_STAU2.txt.gz,STAU2,12970_35,STAU2,8,73420369,73747708
12975_11_KRT20_Keratin_20.txt.gz,KRT20,12975_11,KRT20,17,40875889,40885242
12976_49_SORBS3_Vinexin_b.txt.gz,SORBS3,12976_49,SORBS3,8,22544986,22575788
12980_31_RBM22_RBM22.txt.gz,RBM22,12980_31,RBM22,5,150690792,150701077
12986_12_LIN7C_LIN7C.txt.gz,LIN7C,12986_12,LIN7C,11,27494418,27506769
12987_12_SRSF7_SRSF7.txt.gz,SRSF7,12987_12,SRSF7,2,38743599,38751494
12988_49_EWSR1_EWS.txt.gz,EWSR1,12988_49,EWSR1,22,29268009,29300525
12990_39_MAP3K3_MAP3K3.txt.gz,MAP3K3,12990_39,MAP3K3,17,63622415,63696305
12991_49_CUL9_CUL9.txt.gz,CUL9,12991_49,CUL9,6,43182184,43224587
12993_21_NPLOC4_NPL4.txt.gz,NPLOC4,12993_21,NPLOC4,17,81556887,81648465
13007_66_LCN10_LCN10.txt.gz,LCN10,13007_66,LCN10,9,136738167,136743356
13011_20_RPS10_RS10.txt.gz,RPS10,13011_20,RPS10,6,34417454,34426069
13013_41_PARK2_PRKN2.txt.gz,PARK2,13013_41,PARK2,6,161347417,162727775
13022_20_TP53I11_P5I11.txt.gz,TP53I11,13022_20,TP53I11,11,44885903,44951306
13025_4_FRS2_FRS2.txt.gz,FRS2,13025_4,FRS2,12,69470349,69579793
13027_20_CBX7_CBX7.txt.gz,CBX7,13027_20,CBX7,22,39120167,39152680
13032_1_BECN1_BECN1.txt.gz,BECN1,13032_1,BECN1,17,42810134,42833350
13039_1_PPP1R8_PP1R8.txt.gz,PPP1R8,13039_1,PPP1R8,1,27830782,27851676
13041_47_TRAF4_TRAF4.txt.gz,TRAF4,13041_47,TRAF4,17,28744011,28750956
13042_7_KCNA10_KCA10.txt.gz,KCNA10,13042_7,KCNA10,1,110517217,110519175
13043_157_ATAD2_ATAD2.txt.gz,ATAD2,13043_157,ATAD2,8,123319850,123416350
13044_5_TSG101_TS101.txt.gz,TSG101,13044_5,TSG101,11,18468336,18526951
13053_6_SLC6A14_S6A14.txt.gz,SLC6A14,13053_6,SLC6A14,X,116436606,116461458
13055_53_PSD_PSD1.txt.gz,PSD,13055_53,PSD,10,102402617,102421539
13056_18_SLC6A16_S6A16.txt.gz,SLC6A16,13056_18,SLC6A16,19,49289638,49325215
13059_33_RFK_RIFK.txt.gz,RFK,13059_33,RFK,9,76385526,76394517
13062_4_GMFG_GMFG.txt.gz,GMFG,13062_4,GMFG,19,39328353,39342372
13066_42_EDC4_EDC4.txt.gz,EDC4,13066_42,EDC4,16,67873052,67884499
13067_5_PRKG1_KGP1B.txt.gz,PRKG1,13067_5,PRKG1,10,50990888,52298423
13068_139_CCS_CCS.txt.gz,CCS,13068_139,CCS,11,66593153,66606019
13073_14_ANP32A_AN32A.txt.gz,ANP32A,13073_14,ANP32A,15,68778535,68820897
13076_4_FXR1_FXR1.txt.gz,FXR1,13076_4,FXR1,3,180868141,180982753
13078_3_CETN2_CETN2.txt.gz,CETN2,13078_3,CETN2,X,152826994,152830757
13082_9_UNC45A_UN45A.txt.gz,UNC45A,13082_9,UNC45A,15,90930180,90954093
13083_18_VARS_SYVC.txt.gz,VARS,13083_18,VARS,6,31777518,31795752
13085_18_GLP1R_GLP1R.txt.gz,GLP1R,13085_18,GLP1R,6,39048781,39091303
13088_397_BTC_BTC.txt.gz,BTC,13088_397,BTC,4,74744759,74794523
13089_6_HIF1A_HIF_1a.txt.gz,HIF1A,13089_6,HIF1A,14,61695513,61748259
13090_17_S100A6_S100A6.txt.gz,S100A6,13090_17,S100A6,1,153534599,153536244
13093_6_SECTM1_SECTM1.txt.gz,SECTM1,13093_6,SECTM1,17,82321024,82334074
13094_75_RSPO3_RSPO3.txt.gz,RSPO3,13094_75,RSPO3,6,127118671,127199481
13095_51_REG1A_PSP.txt.gz,REG1A,13095_51,REG1A,2,79120362,79123409
13097_11_BCL2L2_Apoptosis_regulator_Bcl_W.txt.gz,BCL2L2,13097_11,BCL2L2,14,23298790,23311751
13098_93_FIGF_VEGF_D.txt.gz,FIGF,13098_93,FIGF,X,15345596,15384413
13101_60_SOST_SOST.txt.gz,SOST,13101_60,SOST,17,43753738,43758791
13102_1_FAM3D_FAM3D.txt.gz,FAM3D,13102_1,FAM3D,3,58633946,58666834
13104_32_EFNB1_EFNB1.txt.gz,EFNB1,13104_32,EFNB1,X,68829021,68842160
13105_7_SNAP25_SNP25.txt.gz,SNAP25,13105_7,SNAP25,20,10172395,10308258
13107_9_LYPD3_LYPD3.txt.gz,LYPD3,13107_9,LYPD3,19,43460787,43465608
13109_82_NEGR1_NEGR1.txt.gz,NEGR1,13109_82,NEGR1,1,71395943,72282539
13111_79_BCL6_BCL6.txt.gz,BCL6,13111_79,BCL6,3,187721377,187745725
13112_179_FSTL1_FSTL1.txt.gz,FSTL1,13112_179,FSTL1,3,120392293,120451016
13113_7_SPP1_Osteopontin.txt.gz,SPP1,13113_7,SPP1,4,87975667,87983532
13114_50_LUM_Lumican.txt.gz,LUM,13114_50,LUM,12,91102629,91111494
13116_25_CD177_CD177.txt.gz,CD177,13116_25,CD177,19,43353686,43363172
13118_5_SMOC1_SMOC1.txt.gz,SMOC1,13118_5,SMOC1,14,69854131,70032366
13119_26_SERPINA10_protein_Z_inhibitor.txt.gz,SERPINA10,13119_26,SERPINA10,14,94280460,94293268
13122_19_FLRT2_FLRT2.txt.gz,FLRT2,13122_19,FLRT2,14,85530144,85654428
13123_3_FLRT3_FLRT3.txt.gz,FLRT3,13123_3,FLRT3,20,14322985,14337614
13124_20_ISLR2_ISLR2.txt.gz,ISLR2,13124_20,ISLR2,15,74100311,74138540
13125_45_VTN_Vitronectin.txt.gz,VTN,13125_45,VTN,17,28367284,28373091
13126_52_DSC2_DSC2.txt.gz,DSC2,13126_52,DSC2,18,31058840,31102522
13129_40_LDLR_LDLR.txt.gz,LDLR,13129_40,LDLR,19,11089418,11133820
13130_150_HK2_HXK2.txt.gz,HK2,13130_150,HK2,2,74834127,74893359
13131_5_HK1_HXK1.txt.gz,HK1,13131_5,HK1,10,69269984,69401884
13132_14_SEMA5A_SEM5A.txt.gz,SEMA5A,13132_14,SEMA5A,5,9035033,9546075
13133_73_LTBP4_LTBP4.txt.gz,LTBP4,13133_73,LTBP4,19,40592883,40629818
13228_75_MDM2_MDM2.txt.gz,MDM2,13228_75,MDM2,12,68808177,68845544
13229_20_MDM4_MDM4.txt.gz,MDM4,13229_20,MDM4,1,204516379,204558120
13230_174_IGHG2_IgG2__Kappa.txt.gz,IGHG2,13230_174,IGHG2,14,105639559,105644790
13231_90_IGHG4_IgG4__Kappa.txt.gz,IGHG4,13231_90,IGHG4,14,105620506,105626066
13236_25_WNT3A_WNT3A.txt.gz,WNT3A,13236_25,WNT3A,1,228006998,228061271
13240_170_SHANK1_SHAN1.txt.gz,SHANK1,13240_170,SHANK1,19,50659255,50719802
13242_134_SHANK3_SHAN3.txt.gz,SHANK3,13242_134,SHANK3,22,50674415,50733212
13268_45_WNT5A_WNT5A.txt.gz,WNT5A,13268_45,WNT5A,3,55465715,55490539
13374_4_DEFB113_DB113.txt.gz,DEFB113,13374_4,DEFB113,6,49968677,49969625
13375_48_SYNGR3_SNG3.txt.gz,SYNGR3,13375_48,SYNGR3,16,1989660,1994275
13377_3_CYB561D1_C56D1.txt.gz,CYB561D1,13377_3,CYB561D1,1,109494052,109502932
13378_80_C5orf63_YD286.txt.gz,C5orf63,13378_80,C5orf63,5,127045235,127073506
13381_49_B4GALT1_B4GT1.txt.gz,B4GALT1,13381_49,B4GALT1,9,33104082,33167356
13384_110_FH_FUMH.txt.gz,FH,13384_110,FH,1,241497511,241519799
13386_248_RNF34_RNF34.txt.gz,RNF34,13386_248,RNF34,12,121400083,121430623
13387_55_EHF_EHF.txt.gz,EHF,13387_55,EHF,11,34621093,34663288
13388_57_PCSK1_NEC1.txt.gz,PCSK1,13388_57,PCSK1,5,96390333,96434143
13392_13_ATP1B1_AT1B1.txt.gz,ATP1B1,13392_13,ATP1B1,1,169105697,169310992
13393_46_DERL1_DERL1.txt.gz,DERL1,13393_46,DERL1,8,123013170,123042302
13397_88_DEFB4A_HBD_2.txt.gz,DEFB4A,13397_88,DEFB4A,8,7894677,7896716
13399_33_RELL1_RELL1.txt.gz,RELL1,13399_33,RELL1,4,37590800,37686376
13403_5_ETV5_ETV5.txt.gz,ETV5,13403_5,ETV5,3,186046314,186110318
13405_61_SPINK2_ISK2.txt.gz,SPINK2,13405_61,SPINK2,4,56809860,56821742
13411_21_RNF41_RNF41.txt.gz,RNF41,13411_21,RNF41,12,56202179,56221933
13412_5_WFDC6_WFDC6.txt.gz,WFDC6,13412_5,WFDC6,20,45534196,45539482
13416_8_TMEM132D_T132D.txt.gz,TMEM132D,13416_8,TMEM132D,12,129071725,129904025
13421_17_TMEM167B_KISHB.txt.gz,TMEM167B,13421_17,TMEM167B,1,109090764,109096934
13422_66_ENOX2_ENOX2.txt.gz,ENOX2,13422_66,ENOX2,X,130622325,130903234
13423_94_FAM213A_CJ058.txt.gz,FAM213A,13423_94,FAM213A,10,80407829,80437115
13427_66_MAN1C1_MA1C1.txt.gz,MAN1C1,13427_66,MAN1C1,1,25616791,25786206
